dataset_id	dataset_doi	dataset_type	dataset_name	citation_curie	citation_relationship	citation_type	citation_comment	citation_citation	citation_source
44	10.26275/duz8-mq3n	Dataset	Computational modelling of the mechanical behavior of the colon	doi:10.17504/protocols.io.wzeff3e	IsDocumentedBy	Protocol		"Patel, B. (2019). Simulating colonic tissue mechanics using a structure-based material model in Abaqus v1. https://doi.org/10.17504/protocols.io.wzeff3e
"	SPARC
44	10.26275/duz8-mq3n	Dataset	Computational modelling of the mechanical behavior of the colon	doi:10.1016/j.jmbbm.2017.08.031	Describes	Originating Publication		"Patel, B., Chen, H., Ahuja, A., Krieger, J. F., Noblet, J., Chambers, S., & Kassab, G. S. (2018). Constitutive modeling of the passive inflation-extension behavior of the swine colon. Journal of the Mechanical Behavior of Biomedical Materials, 77, 176â186. https://doi.org/10.1016/j.jmbbm.2017.08.031
"	SPARC
48	10.26275/t4ng-2zm6	Dataset	Chronic interfacing with the autonomic nervous system using carbon nanotube (CNT) yarn electrodes	doi:10.17504/protocols.io.wssfeee	IsDocumentedBy	Protocol		"Glossopharyngeal Nerve Chronic  Recording In Anesthetized Rat v1. (2019). https://doi.org/10.17504/protocols.io.wssfeee
"	SPARC
48	10.26275/t4ng-2zm6	Dataset	Chronic interfacing with the autonomic nervous system using carbon nanotube (CNT) yarn electrodes	doi:10.1038/s41598-017-10639-w	Describes	Originating Publication		"McCallum, G. A., Sui, X., Qiu, C., Marmerstein, J., Zheng, Y., Eggers, T. E., Hu, C., Dai, L., & Durand, D. M. (2017). Chronic interfacing with the autonomic nervous system using carbon nanotube (CNT) yarn electrodes. Scientific Reports, 7(1). https://doi.org/10.1038/s41598-017-10639-w
"	SPARC
9	10.26275/qh3q-elj6	Dataset	Influence of left vagal stimulus pulse parameters on vagal and gastric activity in rat	doi:10.17504/protocols.io.2kugcww	IsDocumentedBy	Protocol		"Ward, M., V Nowak, T., Tan, Z., Rajwa, B., Phillips, R., & L Powley, T. (2019). A simple approach to identify the influence of left vagal stimulus pulse parameters on vagal and gastric electrical activity in rat v1. https://doi.org/10.17504/protocols.io.2kugcww
"	SPARC
9	10.26275/qh3q-elj6	Dataset	Influence of left vagal stimulus pulse parameters on vagal and gastric activity in rat	doi:10.1109/TNSRE.2014.2351271	Describes	Originating Publication		"Ward, M. P., Qing, K. Y., Otto, K. J., Worth, R. M., John, S. W. M., & Irazoqui, P. P. (2015). A Flexible Platform for Biofeedback-Driven Control and Personalization of Electrical Nerve Stimulation Therapy. IEEE Transactions on Neural Systems and Rehabilitation Engineering, 23(3), 475â484. https://doi.org/10.1109/tnsre.2014.2351271
"	SPARC
9	10.26275/qh3q-elj6	Dataset	Influence of left vagal stimulus pulse parameters on vagal and gastric activity in rat	doi:10.1101/2023.08.30.555315	Cites	Work		"Wernisch, L., Edwards, T., Berthon, A., Tessier-Lariviere, O., Sarkans, E., Stoukidi, M., Fortier-Poisson, P., Pinkney, M., Thornton, M., Hanley, C., Lee, S., Jennings, J., Appleton, B., Garsed, P., Patterson, B., Buttinger, W., Gonshaw, S., Jakopec, M., Shunmugam, S., â¦ Hewage, E. (2023). Online Bayesian Optimization of Nerve Stimulation. https://doi.org/10.1101/2023.08.30.555315
"	OCI
50	10.26275/guqw-r3ca	Dataset	Processed fMRI data of transcutaneous auricular vagus nerve (taVNS) stimulation in humans	doi:10.17504/protocols.io.9zqh75w	IsDocumentedBy	Protocol		"Napadow, V., Sclocco, R., Napadow, V., & Sclocco, R. (2019). 7T MRI Protocol for response to Respiratory-gated Auricular Vagal Afferent Nerve Stimulation v1. https://doi.org/10.17504/protocols.io.9zqh75w
"	SPARC
24	10.26275/mvwc-fnqm	Dataset	Vagus nerve stimulation promotes gastric emptying by increasing pyloric opening measured with magnetic resonance imaging	doi:10.17504/protocols.io.wvxfe7n	IsDocumentedBy	Protocol		"Lu, K.-H., Liu, Z., & Cao, J. (2019). Contrast-enhanced magnetic resonance imaging of gastric emptying and motility in rats v1. https://doi.org/10.17504/protocols.io.wvxfe7n
"	SPARC
24	10.26275/mvwc-fnqm	Dataset	Vagus nerve stimulation promotes gastric emptying by increasing pyloric opening measured with magnetic resonance imaging	doi:10.1111/nmo.13380	Describes	Originating Publication		"Lu, K. âH., Cao, J., Oleson, S., Ward, M. P., Phillips, R. J., Powley, T. L., & Liu, Z. (2018). Vagus nerve stimulation promotes gastric emptying by increasing pyloric opening measured with magnetic resonance imaging. Neurogastroenterology &amp; Motility, 30(10). Portico. https://doi.org/10.1111/nmo.13380
"	SPARC
52	10.26275/c4xq-9kl0	Dataset	Effect of intermittent hypoxia preconditioning in rats with chronic cervical spinal cord injury – An electrophysiological study	doi:10.17504/protocols.io.2jpgcmn	IsDocumentedBy	Protocol		"Gonzalez-Rothi, E., Tadjalli, A., Perim, R., & Mitchell, G. (2019). SPARC bilateral terminal phrenic neurophysiology preparation with moderate acute intermittent hypoxia v1. https://doi.org/10.17504/protocols.io.2jpgcmn
"	SPARC
52	10.26275/c4xq-9kl0	Dataset	Effect of intermittent hypoxia preconditioning in rats with chronic cervical spinal cord injury – An electrophysiological study	doi:10.17504/protocols.io.2j3gcqn	IsDocumentedBy	Protocol		"Gonzalez-Rothi, E., Allen, L., Simon, A., Seven, Y., Ciesla, M., & Mitchell, G. (2019). SPARC Long-term exposure to intermittent hypoxia (or normoxia) using a custom in-cage computer controlled system v1. https://doi.org/10.17504/protocols.io.2j3gcqn
"	SPARC
55	10.26275/pzek-91wx	Dataset	Robust 3-Dimensional visualization of human colon enteric nervous system without tissue sectioning	doi:10.17504/protocols.io.wyeffte	IsDocumentedBy	Protocol		"Heuckeroth, R., Huerta Lopez, S., Graham, K., & Sengupta, R. (2019). Human colon tissue clearing and Immunohistochemistry v1. https://doi.org/10.17504/protocols.io.wyeffte
"	SPARC
55	10.26275/pzek-91wx	Dataset	Robust 3-Dimensional visualization of human colon enteric nervous system without tissue sectioning	doi:10.1242/jcs.261950	Cites	Work		"Sorensen, L., Humenick, A., Poon, S. S. B., Han, M. N., Mahdavian, N. S., Rowe, M. C., Hamnett, R., GÃ³mez-de-Mariscal, E., Neckel, P. H., Saito, A., Mutunduwe, K., Glennan, C., Haase, R., McQuade, R. M., Foong, J. P. P., Brookes, S. J. H., Kaltschmidt, J. A., MuÃ±oz-Barrutia, A., King, S. K., â¦ Rajasekhar, P. (2024). Gut Analysis Toolbox â automating quantitative analysis of enteric neurons. Journal of Cell Science, 137(20). https://doi.org/10.1242/jcs.261950
"	Datacite
54	10.26275/ge74-ypxd	Dataset	Visualizing sympathetic projections in the intact brown adipose tissue depot in the mouse	doi:10.17504/protocols.io.wqmfdu6	IsDocumentedBy	Protocol		"Lee, S., & Zeltser, L. (2019). iDisco immunolabeling in brown adipose tissue (BAT) v1. https://doi.org/10.17504/protocols.io.wqmfdu6
"	SPARC
56	10.26275/dwzu-xtmj	Dataset	Cholera toxin B retrograde tracing from brown adipose tissue and forelimb to the stellate ganglion	doi:10.17504/protocols.io.wjrfcm6	IsDocumentedBy	Protocol		"Lee, S., & Zeltser, L. (2018). Retrograde labeling of brown adipose tissue (BAT)-projecting sympathetic neurons with cholera toxin B (CTB) v1. https://doi.org/10.17504/protocols.io.wjrfcm6
"	SPARC
57	10.26275/xmsp-wwtu	Dataset	Quantification of Cholera Toxin Subunit Beta (CTb) positive neurons in the coeliac nodose and dorsal root ganglia 1 week after pancreas injection in mice	doi:10.17504/protocols.io.14egnx47pl5d/v1	IsDocumentedBy	Protocol		"Jimenez Gonzalez, M. (2019). Intrapancreatic injection surgery v1. https://doi.org/10.17504/protocols.io.14egnx47pl5d/v1
"	SPARC
58	10.26275/w4my-puqm	Dataset	Functional neuronal nodose recording from pig- Modulation by myocardial ischemia and variably coupled PVC's	doi:10.17504/protocols.io.2i4gcgw	IsDocumentedBy	Protocol		"Ardell, J. (2019). Pig-Neural recording and analysis-workflow v1. https://doi.org/10.17504/protocols.io.2i4gcgw
"	SPARC
58	10.26275/w4my-puqm	Dataset	Functional neuronal nodose recording from pig- Modulation by myocardial ischemia and variably coupled PVC's	doi:10.17504/protocols.io.2ncgdaw	IsDocumentedBy	Protocol		"Vaseghi, M., & Ardell, J. (2019). Pig Nodose Ganglion protocol v1. https://doi.org/10.17504/protocols.io.2ncgdaw
"	SPARC
58	10.26275/w4my-puqm	Dataset	Functional neuronal nodose recording from pig- Modulation by myocardial ischemia and variably coupled PVC's	doi:10.1152/ajpheart.00286.2019	Describes	Originating Publication		"Salavatian, S., Yamaguchi, N., Hoang, J., Lin, N., Patel, S., Ardell, J. L., Armour, J. A., & Vaseghi, M. (2019). Premature ventricular contractions activate vagal afferents and alter autonomic tone: implications for premature ventricular contraction-induced cardiomyopathy. American Journal of Physiology-Heart and Circulatory Physiology, 317(3), H607âH616. https://doi.org/10.1152/ajpheart.00286.2019
"	SPARC
59	10.26275/ppgj-qqpf	Dataset	Mapping of human gastric enteroendocrine cells	doi:10.17504/protocols.io.w3tfgnn	IsDocumentedBy	Protocol		"Immunohistochemistry and high resolution microscopy of human gastric enteroendocrine cells v1. (2019). https://doi.org/10.17504/protocols.io.w3tfgnn
"	SPARC
59	10.26275/ppgj-qqpf	Dataset	Mapping of human gastric enteroendocrine cells	doi:10.1007/s00441-018-2957-0	Describes	Originating Publication		"Fakhry, J., Stebbing, M. J., Hunne, B., Bayguinov, Y., Ward, S. M., Sasse, K. C., Callaghan, B., McQuade, R. M., & Furness, J. B. (2018). Relationships of endocrine cells to each other and to other cell types in the human gastric fundus and corpus. Cell and Tissue Research, 376(1), 37â49. https://doi.org/10.1007/s00441-018-2957-0
"	SPARC
21	10.26275/mzth-oxbk	Dataset	Quantification of the relationship between rat gastric nerve fibers and enteroendocrine cells (EEC)	doi:10.17504/protocols.io.xz8fp9w	IsDocumentedBy	Protocol		"Hunne, B., Stebbing, M., M McQuade, R., & B Furness, J. (2019). Immunohistochemistry and high resolution microscopy of rat gastric nerve fibers and their relationship with enteroendocrine cells v1. https://doi.org/10.17504/protocols.io.xz8fp9w
"	SPARC
20	10.26275/o9qr-l4x9	Dataset	Quantification of rat gastric enteroendocrine cells	doi:10.17504/protocols.io.xeyfjfw	IsDocumentedBy	Protocol		"Hunne, B., Stebbing, M., M. McQuade, R., & B. Furness, J. (2019). Immunohistochemistry and high resolution microscopy of rat gastric enteroendocrine cells v1. https://doi.org/10.17504/protocols.io.xeyfjfw
"	SPARC
20	10.26275/o9qr-l4x9	Dataset	Quantification of rat gastric enteroendocrine cells	doi:10.1007/s00441-019-03029-3	Describes	Originating Publication		"Hunne, B., Stebbing, M. J., McQuade, R. M., & Furness, J. B. (2019). Distributions and relationships of chemically defined enteroendocrine cells in the rat gastric mucosa. Cell and Tissue Research, 378(1), 33â48. https://doi.org/10.1007/s00441-019-03029-3
"	SPARC
62	10.26275/spfh-lx9g	Dataset	Imaging fast neural traffic at fascicular level with electrical impedance tomography - Proof of principle in rat sciatic nerve	doi:10.17504/protocols.io.ww7ffhn	IsDocumentedBy	Protocol		"Aristovich, K., Donega, M., & Holder, D. (2019). EIT data aquisition in rat sciatic nerve using stimulation of tibial and peroneal branches v1. https://doi.org/10.17504/protocols.io.ww7ffhn
"	SPARC
62	10.26275/spfh-lx9g	Dataset	Imaging fast neural traffic at fascicular level with electrical impedance tomography - Proof of principle in rat sciatic nerve	doi:10.1088/1741-2552/aad78e	Describes	Originating Publication		"Aristovich, K., DonegÃ¡, M., Blochet, C., Avery, J., Hannan, S., Chew, D. J., & Holder, D. (2018). Imaging fast neural traffic at fascicular level with electrical impedance tomography: proof of principle in rat sciatic nerve. Journal of Neural Engineering, 15(5), 056025. https://doi.org/10.1088/1741-2552/aad78e
"	SPARC
10	10.26275/wzry-sf7v	Dataset	Spatial distribution and morphometric characterization of vagal afferents associated with the myenteric plexus of the rat stomach	doi:10.17504/protocols.io.2ipgcdn	IsDocumentedBy	Protocol		"Powley, T., Mcadams, J., & Phillips, R. (2019). High resolution labeling of vagal afferent fibers using Dextran-Biotin with counterstaining v1. https://doi.org/10.17504/protocols.io.2ipgcdn
"	SPARC
